condition_id,event_start,ts_ms,event_end_ms,up_best_ask,up_best_bid,down_best_ask,down_best_bid,up_ask_sz_1,down_ask_sz_1
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681916890,1785682200000,0.500000,0.470000,0.530000,0.500000,12.49,27.8
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681917391,1785682200000,0.490000,0.480000,0.520000,0.510000,152.88,27
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681917890,1785682200000,0.460000,0.450000,0.550000,0.540000,42.09,527.04
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681918390,1785682200000,0.470000,0.460000,0.540000,0.530000,28.22,369.23
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681918891,1785682200000,0.470000,0.460000,0.540000,0.530000,7.74,367.91
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681919389,1785682200000,0.470000,0.460000,0.540000,0.530000,7.74,379.79
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681919890,1785682200000,0.470000,0.460000,0.540000,0.530000,18.61,366.04
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681920391,1785682200000,0.430000,0.420000,0.580000,0.570000,259.37,30.99
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681920889,1785682200000,0.420000,0.410000,0.590000,0.580000,527.67,53.05
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681921390,1785682200000,0.420000,0.410000,0.590000,0.580000,585.47,53.05
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681921889,1785682200000,0.410000,0.400000,0.600000,0.590000,157.52,316.07
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681922390,1785682200000,0.450000,0.440000,0.560000,0.550000,123,204.99
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681922891,1785682200000,0.450000,0.440000,0.560000,0.550000,75.08,64.44
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681923389,1785682200000,0.460000,0.450000,0.550000,0.540000,193.4,15.11
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681923891,1785682200000,0.460000,0.450000,0.550000,0.540000,199.61,10.11
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681924389,1785682200000,0.460000,0.450000,0.550000,0.540000,331.95,5.11
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681924890,1785682200000,0.460000,0.450000,0.550000,0.540000,321.25,5.11
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681925389,1785682200000,0.460000,0.450000,0.550000,0.540000,149.06,70.23
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681925891,1785682200000,0.460000,0.450000,0.550000,0.540000,182.78,61.13
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681926389,1785682200000,0.460000,0.450000,0.550000,0.540000,194.99,45.67
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681926890,1785682200000,0.450000,0.440000,0.560000,0.550000,473.26,13.21
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681927391,1785682200000,0.450000,0.440000,0.560000,0.550000,411.35,11.42
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681927890,1785682200000,0.450000,0.440000,0.560000,0.550000,316.63,7.84
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681928389,1785682200000,0.450000,0.440000,0.560000,0.550000,296.65,33.48
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681928890,1785682200000,0.440000,0.430000,0.570000,0.560000,357.41,54.3
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681929391,1785682200000,0.440000,0.430000,0.570000,0.560000,42.4,248.16
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681929890,1785682200000,0.450000,0.440000,0.560000,0.550000,18.41,302.38
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681930391,1785682200000,0.470000,0.460000,0.540000,0.530000,62.94,107.05
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681930889,1785682200000,0.470000,0.460000,0.540000,0.530000,27.94,244.22
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681931391,1785682200000,0.470000,0.460000,0.540000,0.530000,27.94,253.22
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681931889,1785682200000,0.470000,0.460000,0.540000,0.530000,6,265.36
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681932389,1785682200000,0.480000,0.470000,0.530000,0.520000,69.38,239.37
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681932891,1785682200000,0.480000,0.470000,0.530000,0.520000,74.38,234.37
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681933389,1785682200000,0.480000,0.470000,0.530000,0.520000,67.02,238.37
