day,event_start,side,ask,canonical_win,pnl_hold,pnl_lead_bid45_delay0,pnl_lead_bid45_delay0p5,pnl_lead_bid45_delay1,pnl_lead_bid45_delay2,pnl_lead_bid45_delay3,pnl_lead_bid45_delay5,pnl_lead_bid40_delay0,pnl_lead_bid40_delay0p5,pnl_lead_bid40_delay1,pnl_lead_bid40_delay2,pnl_lead_bid40_delay3,pnl_lead_bid40_delay5,signal_secs_lead_bid45_delay0,signal_secs_lead_bid45_delay0p5,signal_secs_lead_bid45_delay1,signal_secs_lead_bid45_delay2,signal_secs_lead_bid45_delay3,signal_secs_lead_bid45_delay5,signal_secs_lead_bid40_delay0,signal_secs_lead_bid40_delay0p5,signal_secs_lead_bid40_delay1,signal_secs_lead_bid40_delay2,signal_secs_lead_bid40_delay3,signal_secs_lead_bid40_delay5,exit_secs_lead_bid45_delay0,exit_secs_lead_bid45_delay0p5,exit_secs_lead_bid45_delay1,exit_secs_lead_bid45_delay2,exit_secs_lead_bid45_delay3,exit_secs_lead_bid45_delay5,exit_secs_lead_bid40_delay0,exit_secs_lead_bid40_delay0p5,exit_secs_lead_bid40_delay1,exit_secs_lead_bid40_delay2,exit_secs_lead_bid40_delay3,exit_secs_lead_bid40_delay5
2026-07-15,2026-07-15T12:55:00.000Z,-1,0.910,1,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T13:05:00.000Z,1,0.900,0,-10.0700,-5.3728,-5.9217,-6.1402,-6.9000,-9.6554,-8.2909,-5.9217,-6.1402,-6.9000,-9.2384,-8.9239,-9.0289,11.0,11.0,11.0,11.0,11.0,11.0,10.5,10.5,10.5,10.5,10.5,10.5,11.0,10.5,10.0,9.0,8.0,6.0,10.5,10.0,9.0,8.5,7.5,5.5
2026-07-15,2026-07-15T13:35:00.000Z,-1,0.700,0,-10.2100,-6.9638,-6.6881,-6.6881,-3.4599,-3.8870,-10.2100,-6.9638,-6.6881,-6.6881,-3.4599,-3.8870,-10.2100,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,,6.0,5.0,5.0,4.0,3.0,
2026-07-15,2026-07-15T13:50:00.000Z,1,0.930,1,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T14:40:00.000Z,1,0.910,1,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T14:50:00.000Z,-1,0.800,1,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T14:55:00.000Z,-1,0.800,1,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T15:10:00.000Z,-1,0.810,1,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T15:15:00.000Z,1,0.700,1,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,4.0043,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T15:30:00.000Z,1,0.890,1,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T15:45:00.000Z,1,0.860,1,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T15:55:00.000Z,1,0.850,1,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T16:20:00.000Z,-1,0.840,1,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T17:00:00.000Z,1,0.740,0,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,-10.1820,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
2026-07-15,2026-07-15T17:05:00.000Z,-1,0.790,0,-10.1470,-9.7930,-9.3186,-8.9609,-10.0292,-10.0292,-10.1470,-9.7930,-9.3186,-8.9609,-10.0292,-10.0292,-10.1470,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,4.5,3.5,2.5,,5.5,5.0,4.5,3.5,2.5,
2026-07-15,2026-07-15T17:15:00.000Z,-1,0.850,1,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T17:30:00.000Z,1,0.510,0,-10.3430,-4.1759,-4.1759,-4.1759,-4.3672,-4.3672,-8.5057,-4.1759,-4.1759,-4.1759,-4.3672,-4.3672,-8.5057,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,19.0,18.0,15.5,21.0,20.0,20.0,19.0,18.0,15.5
2026-07-15,2026-07-15T17:45:00.000Z,-1,0.790,1,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T17:55:00.000Z,1,0.830,1,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T18:05:00.000Z,1,0.880,1,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T18:15:00.000Z,-1,0.780,1,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T18:20:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T19:20:00.000Z,-1,0.550,1,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,7.7759,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T19:30:00.000Z,1,0.740,1,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T19:55:00.000Z,-1,0.750,1,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T20:00:00.000Z,-1,0.790,1,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T20:10:00.000Z,1,0.890,1,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T20:25:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T20:30:00.000Z,1,0.760,1,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T21:15:00.000Z,-1,0.900,1,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T21:25:00.000Z,-1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T21:50:00.000Z,1,0.930,1,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T22:05:00.000Z,-1,0.730,1,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T22:15:00.000Z,1,0.790,1,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,2.4479,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T22:30:00.000Z,1,0.730,1,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T22:40:00.000Z,-1,0.860,1,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T22:50:00.000Z,-1,0.720,1,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T22:55:00.000Z,-1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T23:05:00.000Z,-1,0.840,0,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,
2026-07-15,2026-07-15T23:10:00.000Z,1,0.510,0,-10.3430,-2.6358,-1.4692,-1.4692,-1.4692,-1.0782,-1.0782,-3.0225,-4.3672,-5.1295,-5.3194,-8.5057,-5.8875,23.5,23.5,23.5,23.5,23.5,23.5,10.5,10.5,10.5,10.5,10.5,10.5,23.5,22.5,22.0,21.5,20.0,18.5,10.5,10.0,9.0,8.5,7.5,5.5
2026-07-15,2026-07-15T23:25:00.000Z,-1,0.930,1,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T23:30:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,2026-07-15T23:55:00.000Z,-1,0.560,1,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,7.4599,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,2026-07-16T00:30:00.000Z,-1,0.830,0,-10.1190,-7.4973,-7.7288,-8.7623,-9.5567,-9.7821,-9.8946,-7.4973,-7.7288,-8.7623,-9.5567,-9.7821,-9.8946,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.5,13.0,12.0,10.5,8.5,14.0,13.5,13.0,12.0,10.5,8.5
2026-07-16,2026-07-16T00:40:00.000Z,1,0.800,1,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,2026-07-16T00:55:00.000Z,-1,0.880,1,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,,,,,,,,,,,,,,,,,,,,,,,,
