day,event_start,side,entry_ask,canonical_win,signal_seconds_left,pnl_hold,pnl_exit_delay0,pnl_reverse65_delay0,pnl_reverse68_delay0,pnl_reverse70_delay0,pnl_reverse72_delay0,pnl_reverse78_delay0,pnl_reverse101_delay0,pnl_exit_delay0p5,pnl_reverse65_delay0p5,pnl_reverse68_delay0p5,pnl_reverse70_delay0p5,pnl_reverse72_delay0p5,pnl_reverse78_delay0p5,pnl_reverse101_delay0p5,pnl_exit_delay1,pnl_reverse65_delay1,pnl_reverse68_delay1,pnl_reverse70_delay1,pnl_reverse72_delay1,pnl_reverse78_delay1,pnl_reverse101_delay1,pnl_exit_delay2,pnl_reverse65_delay2,pnl_reverse68_delay2,pnl_reverse70_delay2,pnl_reverse72_delay2,pnl_reverse78_delay2,pnl_reverse101_delay2,reversed_hold,reversed_exit_delay0,reversed_reverse65_delay0,reversed_reverse68_delay0,reversed_reverse70_delay0,reversed_reverse72_delay0,reversed_reverse78_delay0,reversed_reverse101_delay0,reversed_exit_delay0p5,reversed_reverse65_delay0p5,reversed_reverse68_delay0p5,reversed_reverse70_delay0p5,reversed_reverse72_delay0p5,reversed_reverse78_delay0p5,reversed_reverse101_delay0p5,reversed_exit_delay1,reversed_reverse65_delay1,reversed_reverse68_delay1,reversed_reverse70_delay1,reversed_reverse72_delay1,reversed_reverse78_delay1,reversed_reverse101_delay1,reversed_exit_delay2,reversed_reverse65_delay2,reversed_reverse68_delay2,reversed_reverse70_delay2,reversed_reverse72_delay2,reversed_reverse78_delay2,reversed_reverse101_delay2
2026-06-06,2026-06-06T11:50:00.000Z,1,0.8100,1,,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T12:10:00.000Z,-1,0.6800,1,,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T12:35:00.000Z,-1,0.8200,1,,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,2.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T13:00:00.000Z,1,0.8700,1,,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T13:10:00.000Z,-1,0.7200,1,,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T13:20:00.000Z,1,0.5300,0,27.0,-10.3290,-4.8743,-4.8743,-4.8743,-2.4733,-2.4733,-2.4733,-2.4733,-4.8743,-4.8743,-4.8743,-2.4733,-2.4733,-2.4733,-2.4733,-7.3078,-7.3078,-7.3078,-7.3078,-7.3078,-7.3078,-6.7083,-7.3078,-7.3078,-7.3078,-7.3078,-7.3078,-7.3078,-6.7083,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-06-06,2026-06-06T13:25:00.000Z,-1,0.9200,1,,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T13:35:00.000Z,1,0.9326,1,,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0.6235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T14:05:00.000Z,-1,0.5600,1,27.5,7.4599,-5.9056,-5.9056,-5.9056,-5.9056,-5.9056,-10.6330,-10.6330,-5.9056,-5.9056,-5.9056,-5.9056,-5.9056,-10.6330,-10.6330,1.5629,-8.9131,-8.9131,-8.9131,-8.9131,-8.9131,-8.9131,1.5629,-8.9131,-8.9131,-8.9131,-8.9131,-8.9131,-8.9131,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2026-06-06,2026-06-06T14:10:00.000Z,1,0.7400,1,,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T14:15:00.000Z,1,0.9400,1,,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T14:35:00.000Z,1,0.5100,1,,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,9.1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T14:40:00.000Z,1,0.7700,0,12.0,-10.1610,-5.3123,-2.2539,-2.2539,-2.2539,-2.2539,-2.2539,-2.2539,-5.8224,-5.8224,-3.5211,-3.5211,-3.5211,-3.5211,-3.5211,-5.8224,-5.8224,-3.5211,-3.5211,-3.5211,-3.5211,-3.5211,-6.3295,-6.3295,-6.3295,-4.6372,-4.6372,-4.6372,-4.6372,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
2026-06-06,2026-06-06T14:45:00.000Z,1,0.9200,1,,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T14:50:00.000Z,-1,0.7400,1,,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,3.2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T15:05:00.000Z,1,0.8203,1,,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,2.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T15:30:00.000Z,1,0.5900,1,,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,6.5774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T15:35:00.000Z,1,0.8700,1,,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T15:45:00.000Z,-1,0.8800,1,,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T15:55:00.000Z,1,0.9200,1,,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T16:50:00.000Z,-1,0.6400,1,,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,5.2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T17:00:00.000Z,-1,0.8700,0,5.0,-10.0910,-9.3388,-9.3388,-9.3388,-9.3388,-9.3388,-9.3388,-9.2865,-9.5545,-9.5545,-9.5545,-9.5545,-9.5545,-9.5545,-9.5293,-9.5545,-9.5545,-9.5545,-9.5545,-9.5545,-9.5545,-9.5293,-9.9840,-9.9840,-9.9840,-9.9840,-9.9840,-9.9840,-9.9840,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2026-06-06,2026-06-06T17:15:00.000Z,-1,0.9200,0,7.0,-10.0560,-9.2424,-9.2424,-9.2424,-9.2424,-9.2424,-9.2424,-9.1764,-9.2424,-9.2424,-9.2424,-9.2424,-9.2424,-9.2424,-9.1764,-9.3447,-9.3447,-9.3447,-9.3447,-9.3447,-9.3447,-9.2952,-9.2424,-9.2424,-9.2424,-9.2424,-9.2424,-9.2424,-9.1764,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-06-06,2026-06-06T17:50:00.000Z,1,0.7500,0,,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,-10.1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T17:55:00.000Z,-1,0.6500,1,26.0,5.0627,-5.1054,-5.1054,-10.6219,-10.6219,-10.6219,-10.6219,-10.6219,-6.0052,-6.0052,-6.0052,-6.0052,-10.5573,-10.5573,-10.5573,-6.1544,-6.1544,-6.1544,-6.1544,-6.1544,-10.5465,-10.5465,-6.1544,-6.1544,-6.1544,-6.1544,-6.1544,-10.5465,-10.5465,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
2026-06-06,2026-06-06T18:00:00.000Z,-1,0.5700,1,4.0,7.1551,-6.1453,-6.1453,-6.1453,-6.1453,-6.1453,-10.6080,-10.6080,-9.9742,-9.9742,-9.9742,-9.9742,-9.9742,-9.9742,-9.9742,-10.1377,-10.1377,-10.1377,-10.1377,-10.1377,-10.1377,-10.1377,7.1551,7.1551,7.1551,7.1551,7.1551,7.1551,7.1551,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T18:10:00.000Z,1,0.8300,1,,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T18:15:00.000Z,-1,0.9100,1,,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T18:55:00.000Z,1,0.8300,1,,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T19:10:00.000Z,1,0.6400,0,27.0,-10.2520,-4.5722,-1.1389,-1.1389,-1.1389,-1.1389,-1.1389,-1.1389,-6.2488,-6.2488,-6.2488,-6.2488,-6.2488,-4.7971,-4.7971,-6.2488,-6.2488,-6.2488,-6.2488,-6.2488,-4.7971,-4.7971,-7.1522,-7.1522,-7.1522,-7.1522,-7.1522,-7.1522,-6.3490,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2026-06-06,2026-06-06T19:30:00.000Z,-1,0.8600,0,7.0,-10.0980,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.6180,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.6180,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.6180,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.7886,-8.6180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2026-06-06,2026-06-06T19:45:00.000Z,-1,0.7000,1,15.5,4.0043,-7.1014,-7.1014,-7.1014,-7.1014,-7.1014,-10.4400,-10.4400,-7.1014,-7.1014,-7.1014,-7.1014,-7.1014,-10.4400,-10.4400,-6.4116,-6.4116,-6.4116,-6.4116,-6.4116,-10.4900,-10.4900,-7.3759,-7.3759,-7.3759,-7.3759,-7.3759,-7.3759,-10.4200,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2026-06-06,2026-06-06T19:55:00.000Z,-1,0.8500,1,,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T20:00:00.000Z,-1,0.8768,1,,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,1.2722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T20:10:00.000Z,1,0.6200,0,,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,-10.2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T20:20:00.000Z,1,0.8000,1,,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T20:25:00.000Z,-1,0.9400,1,,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T20:35:00.000Z,-1,0.9100,1,,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06,2026-06-06T20:55:00.000Z,1,0.8800,1,,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
